22656 | 40 | registered | 949579
29407 | 35 | registered | 735508
157882 | 39 | registered | 729330
6309 | 46 | registered | 682917
23354 | 38 | moderator | 669355
34397 | 26 | registered | 580486
100297 | 44 | moderator | 556917
893 | 47 | registered | 554239
95810 | 61 | registered | 517529
335858 | 46 | registered | 504200
5445 | 32 | registered | 492449
13302 | 51 | registered | 487837
61974 | 37 | registered | 486344
23283 | 36 | registered | 485882
69083 | 46 | registered | 478735
15168 | 56 | registered | 475641
13249 | 32 | moderator | 462989
505088 | 46 | registered | 458522
88656 | 44 | registered | 451268
571407 | 41 | registered | 441955
218196 | 32 | registered | 436577
18393 | 44 | registered | 435894
53114 | 32 | registered | 428449
139985 | 60 | registered | 426577
70604 | 41 | registered | 425034
106224 | 25 | moderator | 422550
65358 | 40 | registered | 418607
203907 | 29 | registered | 415231
18936 | 40 | registered | 390236
12950 | 54 | registered | 374312
34509 | 31 | registered | 361358
1583 | 44 | moderator | 361155
104349 | 44 | registered | 358167
224671 | 29 | registered | 346903
1968 | 32 | registered | 342137
179910 | 52 | registered | 339110
476 | 34 | moderator | 326978
187606 | 37 | registered | 319555
1491895 | 56 | registered | 314789
922184 | 29 | registered | 314430
16417 | 29 | registered | 314185
9021 | 33 | registered | 313006
596781 | 47 | registered | 312733
20860 | 49 | registered | 308089
479863 | 47 | registered | 305080
284240 | 43 | registered | 299074
413501 | 35 | registered | 297445
50079 | 37 | registered | 293130
138475 | 32 | registered | 290987
27535 | 47 | registered | 288907
114251 | 31 | registered | 287634
31671 | 31 | registered | 287376
118068 | 44 | registered | 285880
55159 | 37 | registered | 282264
10661 | 60 | registered | 278053
28169 | 42 | registered | 276663
148870 | 30 | registered | 274981
182668 | 56 | registered | 273449
276052 | 33 | registered | 271227
992484 | 45 | registered | 266175
3043 | 36 | registered | 264035
65863 | 36 | registered | 260031
16883 | 40 | registered | 259986
9530 | 30 | registered | 259974
70393 | 38 | registered | 259845
151292 | 31 | registered | 258213
119963 | 31 | registered | 256540
139459 | 33 | registered | 255200
279627 | 39 | registered | 253320
771848 | 30 | registered | 253173
87234 | 28 | registered | 252850
939860 | 97 | registered | 252546
2988 | 38 | registered | 250795
77567 | 46 | registered | 246252
149392 | 30 | registered | 246141
139010 | 30 | registered | 244675
522444 | 59 | registered | 244215
